Receive Delay : 102400 60973.000000
Receive Delay : 102400 64635.000000
Receive Delay : 102400 77740.000000
Receive Delay : 102400 67025.000000
Receive Delay : 102400 51153.000000
Receive Delay : 1048576 734038.000000
Receive Delay : 1048576 543056.000000
Receive Delay : 1048576 548113.000000
Receive Delay : 1048576 539316.000000
Receive Delay : 1048576 539571.000000
Receive Delay : 5242880 4184763.000000
Receive Delay : 5242880 4338799.000000
Receive Delay : 5242880 3835527.000000
Receive Delay : 5242880 3766610.000000
Receive Delay : 5242880 2472507.000000
Receive Delay : 10485760 6418472.000000
Receive Delay : 10485760 7136969.000000
Receive Delay : 10485760 6855305.000000
Receive Delay : 10485760 6433018.000000
Receive Delay : 10485760 6319911.000000
Receive Delay : 20971520 13795568.000000
Receive Delay : 20971520 12568350.000000
Receive Delay : 20971520 13076491.000000
Receive Delay : 20971520 12763197.000000
Receive Delay : 20971520 12718115.000000
