Receive Delay : 102400 80613.000000
Scan Delay : 1025882.000000
Connect Delay : 4701.000000
Disconnect Delay : 47.000000
--
Receive Delay : 102400 62506.000000
Scan Delay : 432043.000000
Connect Delay : 932.000000
Disconnect Delay : 42.000000
--
Receive Delay : 102400 71588.000000
Scan Delay : 1263374.000000
Connect Delay : 1094.000000
Disconnect Delay : 41.000000
--
Receive Delay : 102400 53687.000000
Scan Delay : 442474.000000
Connect Delay : 927.000000
Disconnect Delay : 43.000000
--
Receive Delay : 102400 72596.000000
Scan Delay : 2337937.000000
Connect Delay : 1215.000000
Disconnect Delay : 59.000000
--
Receive Delay : 1048576 539645.000000
Scan Delay : 1851122.000000
Connect Delay : 935.000000
Disconnect Delay : 42.000000
--
Receive Delay : 1048576 501383.000000
Scan Delay : 1215272.000000
Connect Delay : 1208.000000
Disconnect Delay : 42.000000
--
Receive Delay : 1048576 491492.000000
Scan Delay : 3022106.000000
Connect Delay : 1314.000000
Disconnect Delay : 42.000000
--
Receive Delay : 1048576 510145.000000
Scan Delay : 1907094.000000
Connect Delay : 4451.000000
Disconnect Delay : 41.000000
--
Receive Delay : 1048576 509798.000000
Scan Delay : 3198090.000000
Connect Delay : 1374.000000
Disconnect Delay : 57.000000
--
Receive Delay : 5242880 2509087.000000
Scan Delay : 981530.000000
Connect Delay : 980.000000
Disconnect Delay : 39.000000
--
Receive Delay : 5242880 2505565.000000
Scan Delay : 985023.000000
Connect Delay : 1124.000000
Disconnect Delay : 40.000000
--
Receive Delay : 5242880 2558980.000000
Scan Delay : 934545.000000
Connect Delay : 893.000000
Disconnect Delay : 51.000000
--
Receive Delay : 5242880 2462652.000000
Scan Delay : 1012863.000000
Connect Delay : 3598.000000
Disconnect Delay : 81.000000
--
Receive Delay : 5242880 2464869.000000
Scan Delay : 475427.000000
Connect Delay : 4403.000000
Disconnect Delay : 40.000000
--
Receive Delay : 10485760 4994985.000000
Scan Delay : 417835.000000
Connect Delay : 985.000000
Disconnect Delay : 53.000000
--
Receive Delay : 10485760 4946821.000000
Scan Delay : 472543.000000
Connect Delay : 5057.000000
Disconnect Delay : 54.000000
--
Receive Delay : 10485760 5064877.000000
Scan Delay : 351338.000000
Connect Delay : 992.000000
Disconnect Delay : 49.000000
--
Receive Delay : 10485760 6353781.000000
Scan Delay : 138240.000000
Connect Delay : 1681.000000
Disconnect Delay : 57.000000
--
Receive Delay : 10485760 5034584.000000
Scan Delay : 963332.000000
Connect Delay : 2668.000000
Disconnect Delay : 40.000000
--
Receive Delay : 20971520 9795872.000000
Scan Delay : 1623955.000000
Connect Delay : 881.000000
Disconnect Delay : 57.000000
--
Receive Delay : 20971520 10054589.000000
Scan Delay : 243998.000000
Connect Delay : 1032.000000
Disconnect Delay : 54.000000
--
Receive Delay : 20971520 9946570.000000
Scan Delay : 1496194.000000
Connect Delay : 1089.000000
Disconnect Delay : 171.000000
--
Receive Delay : 20971520 11205093.000000
Scan Delay : 275528.000000
Connect Delay : 6400.000000
Disconnect Delay : 57.000000
--
Receive Delay : 20971520 10101706.000000
Scan Delay : 379531.000000
Connect Delay : 881.000000
Disconnect Delay : 63.000000
--
