1: 102400 330285.000000
2: 102400 1564583.000000
3: 102400 62161.000000
4: 102400 55782.000000
5: 102400 163408.000000
6: 1048576 2871802.000000
7: 1048576 1879788.000000
8: 1048576 2222185.000000
9: 1048576 2458147.000000
10: 1048576 2662893.000000
11: 5242880 14675568.000000
12: 5242880 14447313.000000
13: 5242880 14860866.000000
14: 5242880 13783666.000000
15: 5242880 14969614.000000
16: 10485760 29309127.000000
17: 10485760 29378089.000000
18: 10485760 22006461.000000
19: 10485760 25847352.000000
20: 10485760 22067244.000000
21: 20971520 53998194.000000
22: 20971520 53519170.000000
23: 20971520 49777946.000000
24: 20971520 55693737.000000
25: 20971520 53132059.000000
